Sprint,阶段目标,Task编号,Task名称,模块,交付物,开始日期,结束日期,需求明确,优先级,标签,备注,阻塞项
Sprint 0,环境就绪 + 需求冻结 + 前置审批启动,0.1,服务器方案评估与采购,基础设施,阿里云配置清单 + 采购完成,2026-04-20,2026-04-26,明确,High,运维,2核以上 Node/Python 环境,
Sprint 0,环境就绪 + 需求冻结 + 前置审批启动,0.2,域名注册 + ICP 备案启动,基础设施,域名持有 + 备案回执,2026-04-20,2026-04-26,明确,Medium,运维,国内访问必备,
Sprint 0,环境就绪 + 需求冻结 + 前置审批启动,0.3,OSS + CDN 配置,基础设施,存储桶 + 加速域名,2026-04-20,2026-04-26,明确,Medium,运维,图片/视频资源托管,
Sprint 0,环境就绪 + 需求冻结 + 前置审批启动,0.4,技术栈最终选型,技术决策,前后端框架 + 数据库选型文档,2026-04-20,2026-04-26,待确认,Medium,后端,阻塞后续所有开发 需峰子定,0.4 技术栈选型
Sprint 0,环境就绪 + 需求冻结 + 前置审批启动,0.5,项目脚手架搭建（前端）,官网 H5,React/Vue 项目初始化 + i18n 框架,2026-04-20,2026-04-26,明确,Medium,前端,中英双语基础,0.4 技术栈选型
Sprint 0,环境就绪 + 需求冻结 + 前置审批启动,0.6,项目脚手架搭建（后端）,后端,API 服务初始化 + 数据库连接,2026-04-20,2026-04-26,明确,Medium,后端,阻塞 0.7/0.8,0.4 技术栈选型
Sprint 0,环境就绪 + 需求冻结 + 前置审批启动,0.7,数据库基础表搭建（已定部分）,数据库,"users, teachers, timetables, camp_sessions",2026-04-20,2026-04-26,明确,Medium,数据库,仅含确定字段,
Sprint 0,环境就绪 + 需求冻结 + 前置审批启动,0.8,接口清单初稿 + ER 图（已定部分）,后端,接口文档 + ER 图 v0.1,2026-04-20,2026-04-26,明确,High,后端,仅覆盖 Phase 1-2 内容,
Sprint 0,环境就绪 + 需求冻结 + 前置审批启动,0.9,开发排期表输出,项目管理,各 Phase 详细排期,2026-04-20,2026-04-26,明确,High,产品,依赖 0.4 技术栈确认,0.4 技术栈选型
Sprint 0,环境就绪 + 需求冻结 + 前置审批启动,0.10,支付宝商户号申请,支付,商户号申请回执,2026-04-20,2026-04-26,明确,Low,支付,饭团负责 阻塞 Phase 2,0.10 支付宝商户号
Sprint 0,环境就绪 + 需求冻结 + 前置审批启动,0.11,Wise 账户开通,支付,Wise 账户信息,2026-04-20,2026-04-26,明确,High,支付,提前启动 W3 正式用,
Sprint 1,官网能打开 能看老师和课程 能填报名表,1.1,首页 Landing 页开发,官网 H5,含视频/动效占位 底部固定 CTA,2026-04-27,2026-05-03,明确,High,前端,依赖大雪原型定稿,
Sprint 1,官网能打开 能看老师和课程 能填报名表,1.2,老师详情页开发,官网 H5,老师照片/简介/视频展示,2026-04-27,2026-05-03,待确认,High,前端,依赖饭团老师资料,饭团 W1 末交付老师资料
Sprint 1,官网能打开 能看老师和课程 能填报名表,1.3,课表页开发,官网 H5,课程时间展示,2026-04-27,2026-05-03,待确认,High,前端,依赖饭团课表,饭团 W1 末交付课表
Sprint 1,官网能打开 能看老师和课程 能填报名表,1.4,FAQ 页开发,官网 H5,常见问题折叠列表,2026-04-27,2026-05-03,待确认,Medium,前端,依赖饭团 FAQ 文案,饭团 W1 末交付 FAQ
Sprint 1,官网能打开 能看老师和课程 能填报名表,1.5,报名须知页开发,官网 H5,静态内容页,2026-04-27,2026-05-03,明确,Medium,前端,依赖饭团文案,
Sprint 1,官网能打开 能看老师和课程 能填报名表,1.6,报名表单页开发,官网 H5,学生信息 + 协议勾选 + 字段校验,2026-04-27,2026-05-03,明确,High,前端,5步流程内,
Sprint 1,官网能打开 能看老师和课程 能填报名表,1.7,后台内容配置模块,后台管理,老师/课表/FAQ/报名须知 增删改查,2026-04-27,2026-05-03,明确,High,后端,运营角色可用,
Sprint 1,官网能打开 能看老师和课程 能填报名表,1.8,前端 i18n 全量接入,官网 H5,所有页面支持中英切换,2026-04-27,2026-05-03,明确,High,前端,与 1.1-1.6 并行,
Sprint 1,官网能打开 能看老师和课程 能填报名表,1.9,数据库表：classes（课次单元）,数据库,每节课的基础信息（时间/老师/主题）,2026-04-27,2026-05-03,明确,High,数据库,所有购买最终都要关联 class_id,
Sprint 1,官网能打开 能看老师和课程 能填报名表,1.10,数据库表：bundles（课包定义）,数据库,整期A=23节 / 整期B=19节 / 单天=6节 / 次卡=可选池,2026-04-27,2026-05-03,明确,High,数据库,课包是内部概念 不对客户展示,
Sprint 1,官网能打开 能看老师和课程 能填报名表,1.11,数据库表：skus（基础字段）,数据库,"sku_type, joinable_group, bundle_id",2026-04-27,2026-05-03,明确,High,数据库,结构先搭 促销规则等 W2 绑定,
Sprint 2,跑通选课->下单->付钱->拿二维码->现场扫码入场闭环,2.1,订单系统开发（状态机）,后端,INIT->PAYING->PAID->CHECKED_IN,2026-05-04,2026-05-10,明确,High,后端,含超时关闭逻辑,
Sprint 2,跑通选课->下单->付钱->拿二维码->现场扫码入场闭环,2.2,订单创建接口 + 订单详情接口,后端,POST/GET /api/orders,2026-05-04,2026-05-10,明确,High,后端,关联 1.11 skus（课包+促销组合）,
Sprint 2,跑通选课->下单->付钱->拿二维码->现场扫码入场闭环,2.3,支付宝 H5 支付接入,后端,跳转支付 + 异步通知回调,2026-05-04,2026-05-10,待确认,High,支付,依赖 0.10 商户号审批结果,0.10 支付宝商户号
Sprint 2,跑通选课->下单->付钱->拿二维码->现场扫码入场闭环,2.4,Wise 海外支付流程,后端,账户展示 + 凭证上传 + 人工确认,2026-05-04,2026-05-10,明确,Low,支付,后台需待确认列表,
Sprint 2,跑通选课->下单->付钱->拿二维码->现场扫码入场闭环,2.5,支付方式选择页开发,官网 H5,支付宝 / Wise 两大卡片选项,2026-05-04,2026-05-10,明确,High,前端,含 Wise 说明文案,
Sprint 2,跑通选课->下单->付钱->拿二维码->现场扫码入场闭环,2.6,报名成功页 + 核销二维码,官网 H5,订单状态 + 二维码展示,2026-05-04,2026-05-10,明确,High,前端,二维码用随机 token,
Sprint 2,跑通选课->下单->付钱->拿二维码->现场扫码入场闭环,2.7,核销端开发（登录 + 扫码）,核销端,安保核销员登录 + 扫码入口,2026-05-04,2026-05-10,明确,High,前端,仅安保角色可用,
